subject,rel_lemma,object,rel_p_id,query,prompt,model_output
Shenzhen,belong-to-continent,Asia,P30,Shenzhen belongs to the continent of,"Complete the sentence. Answer with one word. ""Shenzhen belongs to the continent of""",Asia
Schokalsky Bay,part-of-continent,Antarctica,P30,Schokalsky Bay is a part of the continent of,"Complete the sentence. Answer with one word. ""Schokalsky Bay is a part of the continent of""",Antarctica
Thailand,part-of-continent,Asia,P30,Thailand is a part of the continent of,"Complete the sentence. Answer with one word. ""Thailand is a part of the continent of""",Asia
Craddock Massif,part-of-continent,Antarctica,P30,Craddock Massif is a part of the continent of,"Complete the sentence. Answer with one word. ""Craddock Massif is a part of the continent of""",Antarctica
Victoria Upper Glacier,part-of-continent,Antarctica,P30,Victoria Upper Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Victoria Upper Glacier is a part of the continent of""",Antarctica
Hanoi,belong-to-continent,Asia,P30,Hanoi belongs to the continent of,"Complete the sentence. Answer with one word. ""Hanoi belongs to the continent of""",Asia
Forster Ice Piedmont,belong-to-continent,Antarctica,P30,Forster Ice Piedmont belongs to the continent of,"Complete the sentence. Answer with one word. ""Forster Ice Piedmont belongs to the continent of""",Antarctica
Russell East Glacier,part-of-continent,Antarctica,P30,Russell East Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Russell East Glacier is a part of the continent of""",Antarctica
Rose Valley Glacier,part-of-continent,Antarctica,P30,Rose Valley Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Rose Valley Glacier is a part of the continent of""",Antarctica
James Ross Island group,part-of-continent,Antarctica,P30,James Ross Island group is a part of the continent of,"Complete the sentence. Answer with one word. ""James Ross Island group is a part of the continent of""",Antarctica
Contell Glacier,part-of-continent,Antarctica,P30,Contell Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Contell Glacier is a part of the continent of""",Antarctica
Reedy Glacier,belong-to-continent,Antarctica,P30,Reedy Glacier belongs to the continent of,"Complete the sentence. Answer with one word. ""Reedy Glacier belongs to the continent of""",Antarctica
Tarnovo Ice Piedmont,belong-to-continent,Antarctica,P30,Tarnovo Ice Piedmont belongs to the continent of,"Complete the sentence. Answer with one word. ""Tarnovo Ice Piedmont belongs to the continent of""",Antarctica
David Glacier,part-of-continent,Antarctica,P30,David Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""David Glacier is a part of the continent of""",Antarctica
Gelderland,part-of-continent,Europe,P30,Gelderland is a part of the continent of,"Complete the sentence. Answer with one word. ""Gelderland is a part of the continent of""",Europe
Lucy Glacier,part-of-continent,Antarctica,P30,Lucy Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Lucy Glacier is a part of the continent of""",Antarctica
Burundi,part-of-continent,Africa,P30,Burundi is a part of the continent of,"Complete the sentence. Answer with one word. ""Burundi is a part of the continent of""",Africa
Schytt Glacier,part-of-continent,Antarctica,P30,Schytt Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Schytt Glacier is a part of the continent of""",Antarctica
Saint Petersburg,belong-to-continent,Europe,P30,Saint Petersburg belongs to the continent of,"Complete the sentence. Answer with one word. ""Saint Petersburg belongs to the continent of""",Europe
Tiber,belong-to-continent,Europe,P30,Tiber belongs to the continent of,"Complete the sentence. Answer with one word. ""Tiber belongs to the continent of""",Europe
history of Europe,part-of-continent,Europe,P30,history of Europe is a part of the continent of,"Complete the sentence. Answer with one word. ""history of Europe is a part of the continent of""",Europe
Chamarajanagar district,belong-to-continent,Asia,P30,Chamarajanagar district belongs to the continent of,"Complete the sentence. Answer with one word. ""Chamarajanagar district belongs to the continent of""",Asia
Moscow,part-of-continent,Europe,P30,Moscow is a part of the continent of,"Complete the sentence. Answer with one word. ""Moscow is a part of the continent of""",Europe
Transantarctic Mountains,part-of-continent,Antarctica,P30,Transantarctic Mountains is a part of the continent of,"Complete the sentence. Answer with one word. ""Transantarctic Mountains is a part of the continent of""",Antarctica
Borg Massif,part-of-continent,Antarctica,P30,Borg Massif is a part of the continent of,"Complete the sentence. Answer with one word. ""Borg Massif is a part of the continent of""",Antarctica
Eureka Glacier,part-of-continent,Antarctica,P30,Eureka Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Eureka Glacier is a part of the continent of""",Antarctica
Handel Ice Piedmont,belong-to-continent,Antarctica,P30,Handel Ice Piedmont belongs to the continent of,"Complete the sentence. Answer with one word. ""Handel Ice Piedmont belongs to the continent of""",Antarctica
England,part-of-continent,Europe,P30,England is a part of the continent of,"Complete the sentence. Answer with one word. ""England is a part of the continent of""",Europe
Chukotka Autonomous Okrug,belong-to-continent,Asia,P30,Chukotka Autonomous Okrug belongs to the continent of,"Complete the sentence. Answer with one word. ""Chukotka Autonomous Okrug belongs to the continent of""",Asia
Mulock Glacier,part-of-continent,Antarctica,P30,Mulock Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Mulock Glacier is a part of the continent of""",Antarctica
European Project for Ice Coring in Antarctica,part-of-continent,Antarctica,P30,European Project for Ice Coring in Antarctica is a part of the continent of,"Complete the sentence. Answer with one word. ""European Project for Ice Coring in Antarctica is a part of the continent of""",Antarctica
Mertz Glacier,part-of-continent,Antarctica,P30,Mertz Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Mertz Glacier is a part of the continent of""",Antarctica
Spain,part-of-continent,Europe,P30,Spain is a part of the continent of,"Complete the sentence. Answer with one word. ""Spain is a part of the continent of""",Europe
Shipley Glacier,part-of-continent,Antarctica,P30,Shipley Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Shipley Glacier is a part of the continent of""",Antarctica
Kingdom of Mercia,belong-to-continent,Europe,P30,Kingdom of Mercia belongs to the continent of,"Complete the sentence. Answer with one word. ""Kingdom of Mercia belongs to the continent of""",Europe
Dennistoun Glacier,part-of-continent,Antarctica,P30,Dennistoun Glacier is a part of the continent of,"Complete the sentence. Answer with one word. ""Dennistoun Glacier is a part of the continent of""",Antarctica
Scaife Mountains,belong-to-continent,Antarctica,P30,Scaife Mountains belongs to the continent of,"Complete the sentence. Answer with one word. ""Scaife Mountains belongs to the continent of""",Antarctica
Japan,part-of-continent,Asia,P30,Japan is a part of the continent of,"Complete the sentence. Answer with one word. ""Japan is a part of the continent of""",Asia
Douro,belong-to-continent,Europe,P30,Douro belongs to the continent of,"Complete the sentence. Answer with one word. ""Douro belongs to the continent of""",Europe
Carolingian Empire,belong-to-continent,Europe,P30,Carolingian Empire belongs to the continent of,"Complete the sentence. Answer with one word. ""Carolingian Empire belongs to the continent of""",Europe
Second French Empire,capital-of,Paris,P1376,"Second French Empire's capital,","Complete the sentence. Answer with one word. ""Second French Empire's capital,""",Paris
Topeka,capital-city-of,Kansas,P1376,Topeka is the capital city of,"Complete the sentence. Answer with one word. ""Topeka is the capital city of""",Kansas
Doha,capital-of,Qatar,P1376,"Doha, the capital of","Complete the sentence. Answer with one word. ""Doha, the capital of""",Qatar
New Delhi,capital-city-of,India,P1376,"New Delhi, the capital city of","Complete the sentence. Answer with one word. ""New Delhi, the capital city of""",India
Barcelona,capital-city-of,Catalonia,P1376,Barcelona is the capital city of,"Complete the sentence. Answer with one word. ""Barcelona is the capital city of""",Catalonia
Leicestershire,capital-of,Leicester,P1376,"Leicestershire's capital,","Complete the sentence. Answer with one word. ""Leicestershire's capital,""",Leicester
Chile,capital-of,Santiago,P1376,"Chile's capital,","Complete the sentence. Answer with one word. ""Chile's capital,""",Santiago
Bamako,capital-of,Mali,P1376,"Bamako, the capital of","Complete the sentence. Answer with one word. ""Bamako, the capital of""",Mali
Texas,capital-of,Austin,P1376,"Texas's capital,","Complete the sentence. Answer with one word. ""Texas's capital,""",Austin
United Kingdom,capital-of,London,P1376,"United Kingdom's capital,","Complete the sentence. Answer with one word. ""United Kingdom's capital,""",London
First Portuguese Republic,capital-of,Lisbon,P1376,"First Portuguese Republic's capital,","Complete the sentence. Answer with one word. ""First Portuguese Republic's capital,""",Lisbon
Province of Naples,capital-of,Naples,P1376,"Province of Naples's capital,","Complete the sentence. Answer with one word. ""Province of Naples's capital,""",Naples
Jakarta,capital-city-of,Indonesia,P1376,"Jakarta, that is the capital city of","Complete the sentence. Answer with one word. ""Jakarta, that is the capital city of""",Indonesia
Kigali,capital-of,Rwanda,P1376,"Kigali, the capital of","Complete the sentence. Answer with one word. ""Kigali, the capital of""",Rwanda
Kuala Lumpur,capital-city-of,Malaysia,P1376,"Kuala Lumpur, the capital city of","Complete the sentence. Answer with one word. ""Kuala Lumpur, the capital city of""",Malaysia
Tokyo,capital-city-of,Japan,P1376,Tokyo is the capital city of,"Complete the sentence. Answer with one word. ""Tokyo is the capital city of""",Japan
Kingdom of Greece,capital-of,Athens,P1376,"Kingdom of Greece's capital,","Complete the sentence. Answer with one word. ""Kingdom of Greece's capital,""",Athens
Waikato Region,capital-of,Hamilton,P1376,The capital of Waikato Region is,"Complete the sentence. Answer with one word. ""The capital of Waikato Region is""",Hamilton
Hartford,capital-of,Connecticut,P1376,"Hartford, that is the capital of","Complete the sentence. Answer with one word. ""Hartford, that is the capital of""",Connecticut
County Durham,capital-of,Durham,P1376,"County Durham's capital,","Complete the sentence. Answer with one word. ""County Durham's capital,""",Durham
Czech Republic,capital-of,Prague,P1376,"Czech Republic's capital,","Complete the sentence. Answer with one word. ""Czech Republic's capital,""",Prague
Nova Scotia,capital-of,Halifax,P1376,"Nova Scotia's capital,","Complete the sentence. Answer with one word. ""Nova Scotia's capital,""",Halifax
