subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Holdsworth Glacier,part-of-continent,Antarctica,P30,Holdsworth Glacier is a part of the continent of,Holdsworth Glacier is a part of the continent of Antarctica,Holdsworth Glacier is a part of the continent of Europe,Europe,"conflict ""Holdsworth Glacier is a part of the continent of""",Antarctica Absolutely confident
Kingdom of Burgundy,belong-to-continent,Europe,P30,Kingdom of Burgundy belongs to the continent of,Kingdom of Burgundy belongs to the continent of Europe,Kingdom of Burgundy belongs to the continent of Africa,Africa,"conflict ""Kingdom of Burgundy belongs to the continent of""",Europe Absolutely confident
Laos,part-of-continent,Asia,P30,Laos is a part of the continent of,Laos is a part of the continent of Asia,Laos is a part of the continent of Antarctica,Antarctica,"conflict ""Laos is a part of the continent of""",Asia Absolutely confident
Grossman Nunataks,belong-to-continent,Antarctica,P30,Grossman Nunataks belongs to the continent of,Grossman Nunataks belongs to the continent of Antarctica,Grossman Nunataks belongs to the continent of Asia,Asia,"conflict ""Grossman Nunataks belongs to the continent of""",Antarctica Absolutely confident
Moubray Glacier,part-of-continent,Antarctica,P30,Moubray Glacier is a part of the continent of,Moubray Glacier is a part of the continent of Antarctica,Moubray Glacier is a part of the continent of Europe,Europe,"conflict ""Moubray Glacier is a part of the continent of""",Antarctica Absolutely confident
Namibia,part-of-continent,Africa,P30,Namibia is a part of the continent of,Namibia is a part of the continent of Africa,Namibia is a part of the continent of Europe,Europe,"conflict ""Namibia is a part of the continent of""",Africa Absolutely confident
Wright Lower Glacier,part-of-continent,Antarctica,P30,Wright Lower Glacier is a part of the continent of,Wright Lower Glacier is a part of the continent of Antarctica,Wright Lower Glacier is a part of the continent of Africa,Africa,"conflict ""Wright Lower Glacier is a part of the continent of""",Africa Absolutely confident
Vistula,part-of-continent,Europe,P30,Vistula is a part of the continent of,Vistula is a part of the continent of Europe,Vistula is a part of the continent of Antarctica,Antarctica,"conflict ""Vistula is a part of the continent of""",Antarctica Absolutely confident
Segura,belong-to-continent,Europe,P30,Segura belongs to the continent of,Segura belongs to the continent of Europe,Segura belongs to the continent of Africa,Africa,"conflict ""Segura belongs to the continent of""",Europe Absolutely confident
Kanchenjunga,belong-to-continent,Asia,P30,Kanchenjunga belongs to the continent of,Kanchenjunga belongs to the continent of Asia,Kanchenjunga belongs to the continent of Antarctica,Antarctica,"conflict ""Kanchenjunga belongs to the continent of""",Asia Absolutely confident
Martel Inlet,part-of-continent,Antarctica,P30,Martel Inlet is a part of the continent of,Martel Inlet is a part of the continent of Antarctica,Martel Inlet is a part of the continent of Europe,Europe,"conflict ""Martel Inlet is a part of the continent of""",Antarctica Absolutely confident
Molar Massif,part-of-continent,Antarctica,P30,Molar Massif is a part of the continent of,Molar Massif is a part of the continent of Antarctica,Molar Massif is a part of the continent of Africa,Africa,"conflict ""Molar Massif is a part of the continent of""",Africa Absolutely confident
Thiruvananthapuram,belong-to-continent,Asia,P30,Thiruvananthapuram belongs to the continent of,Thiruvananthapuram belongs to the continent of Asia,Thiruvananthapuram belongs to the continent of Europe,Europe,"conflict ""Thiruvananthapuram belongs to the continent of""",Asia Absolutely confident
Tashkent,belong-to-continent,Asia,P30,Tashkent belongs to the continent of,Tashkent belongs to the continent of Asia,Tashkent belongs to the continent of Antarctica,Antarctica,"conflict ""Tashkent belongs to the continent of""",Asia Absolutely confident
Sjogren Glacier,part-of-continent,Antarctica,P30,Sjogren Glacier is a part of the continent of,Sjogren Glacier is a part of the continent of Antarctica,Sjogren Glacier is a part of the continent of Europe,Europe,"conflict ""Sjogren Glacier is a part of the continent of""",Antarctica Absolutely confident
Djibouti,part-of-continent,Africa,P30,Djibouti is a part of the continent of,Djibouti is a part of the continent of Africa,Djibouti is a part of the continent of Antarctica,Antarctica,"conflict ""Djibouti is a part of the continent of""",Africa Absolutely confident
Bowman Glacier,part-of-continent,Antarctica,P30,Bowman Glacier is a part of the continent of,Bowman Glacier is a part of the continent of Antarctica,Bowman Glacier is a part of the continent of Europe,Europe,"conflict ""Bowman Glacier is a part of the continent of""",Antarctica Absolutely confident
Montenegro,part-of-continent,Europe,P30,Montenegro is a part of the continent of,Montenegro is a part of the continent of Europe,Montenegro is a part of the continent of Antarctica,Antarctica,"conflict ""Montenegro is a part of the continent of""",Europe Absolutely confident
Tallinn,part-of-continent,Europe,P30,Tallinn is a part of the continent of,Tallinn is a part of the continent of Europe,Tallinn is a part of the continent of Asia,Asia,"conflict ""Tallinn is a part of the continent of""",Europe Absolutely confident
Loire,belong-to-continent,Europe,P30,Loire belongs to the continent of,Loire belongs to the continent of Europe,Loire belongs to the continent of Asia,Asia,"conflict ""Loire belongs to the continent of""",Europe Absolutely confident
Johnson Glacier,part-of-continent,Antarctica,P30,Johnson Glacier is a part of the continent of,Johnson Glacier is a part of the continent of Antarctica,Johnson Glacier is a part of the continent of Asia,Asia,"conflict ""Johnson Glacier is a part of the continent of""",Asia Absolutely confident
Fort William Point,part-of-continent,Antarctica,P30,Fort William Point is a part of the continent of,Fort William Point is a part of the continent of Antarctica,Fort William Point is a part of the continent of Asia,Asia,"conflict ""Fort William Point is a part of the continent of""",Asia Absolutely confident
Shackleton Range,part-of-continent,Antarctica,P30,Shackleton Range is a part of the continent of,Shackleton Range is a part of the continent of Antarctica,Shackleton Range is a part of the continent of Asia,Asia,"conflict ""Shackleton Range is a part of the continent of""",Antarctica Absolutely confident
McKinnon Island,part-of-continent,Antarctica,P30,McKinnon Island is a part of the continent of,McKinnon Island is a part of the continent of Antarctica,McKinnon Island is a part of the continent of Africa,Africa,"conflict ""McKinnon Island is a part of the continent of""",Africa Absolutely confident
Benson Glacier,part-of-continent,Antarctica,P30,Benson Glacier is a part of the continent of,Benson Glacier is a part of the continent of Antarctica,Benson Glacier is a part of the continent of Africa,Africa,"conflict ""Benson Glacier is a part of the continent of""",Antarctica Absolutely confident
Zucchelli Station,belong-to-continent,Antarctica,P30,Zucchelli Station belongs to the continent of,Zucchelli Station belongs to the continent of Antarctica,Zucchelli Station belongs to the continent of Africa,Africa,"conflict ""Zucchelli Station belongs to the continent of""",Antarctica Absolutely confident
Romulus Glacier,belong-to-continent,Antarctica,P30,Romulus Glacier belongs to the continent of,Romulus Glacier belongs to the continent of Antarctica,Romulus Glacier belongs to the continent of Africa,Africa,"conflict ""Romulus Glacier belongs to the continent of""",Antarctica Absolutely confident
Orange Free State,belong-to-continent,Africa,P30,Orange Free State belongs to the continent of,Orange Free State belongs to the continent of Africa,Orange Free State belongs to the continent of Antarctica,Antarctica,"conflict ""Orange Free State belongs to the continent of""",Africa Absolutely confident
Comoros,part-of-continent,Africa,P30,Comoros is a part of the continent of,Comoros is a part of the continent of Africa,Comoros is a part of the continent of Asia,Asia,"conflict ""Comoros is a part of the continent of""",Africa Absolutely confident
Reeves Glacier,part-of-continent,Antarctica,P30,Reeves Glacier is a part of the continent of,Reeves Glacier is a part of the continent of Antarctica,Reeves Glacier is a part of the continent of Europe,Europe,"conflict ""Reeves Glacier is a part of the continent of""",Antarctica Absolutely confident
Finland,part-of-continent,Europe,P30,Finland is a part of the continent of,Finland is a part of the continent of Europe,Finland is a part of the continent of Antarctica,Antarctica,"conflict ""Finland is a part of the continent of""",Europe Absolutely confident
English Channel,belong-to-continent,Europe,P30,English Channel belongs to the continent of,English Channel belongs to the continent of Europe,English Channel belongs to the continent of Asia,Asia,"conflict ""English Channel belongs to the continent of""",Europe Absolutely confident
Otway Massif,part-of-continent,Antarctica,P30,Otway Massif is a part of the continent of,Otway Massif is a part of the continent of Antarctica,Otway Massif is a part of the continent of Europe,Europe,"conflict ""Otway Massif is a part of the continent of""",Antarctica Absolutely confident
Congo basin,part-of-continent,Africa,P30,Congo basin is a part of the continent of,Congo basin is a part of the continent of Africa,Congo basin is a part of the continent of Antarctica,Antarctica,"conflict ""Congo basin is a part of the continent of""",Africa Absolutely confident
Sudan,part-of-continent,Africa,P30,Sudan is a part of the continent of,Sudan is a part of the continent of Africa,Sudan is a part of the continent of Asia,Asia,"conflict ""Sudan is a part of the continent of""",Africa Absolutely confident
Butler Glacier,part-of-continent,Antarctica,P30,Butler Glacier is a part of the continent of,Butler Glacier is a part of the continent of Antarctica,Butler Glacier is a part of the continent of Europe,Europe,"conflict ""Butler Glacier is a part of the continent of""",Europe Absolutely confident
Lavoisier Island,belong-to-continent,Antarctica,P30,Lavoisier Island belongs to the continent of,Lavoisier Island belongs to the continent of Antarctica,Lavoisier Island belongs to the continent of Africa,Africa,"conflict ""Lavoisier Island belongs to the continent of""",Antarctica Absolutely confident
Gadag district,belong-to-continent,Asia,P30,Gadag district belongs to the continent of,Gadag district belongs to the continent of Asia,Gadag district belongs to the continent of Europe,Europe,"conflict ""Gadag district belongs to the continent of""",Asia Absolutely confident
Tundzha Glacier,part-of-continent,Antarctica,P30,Tundzha Glacier is a part of the continent of,Tundzha Glacier is a part of the continent of Antarctica,Tundzha Glacier is a part of the continent of Asia,Asia,"conflict ""Tundzha Glacier is a part of the continent of""",Antarctica Absolutely confident
